retention,area
21.149,29014
21.157,29286
21.164,39968
21.171,28049
21.179,30010
21.186,33742
21.193,35376
21.201,35301
21.208,29934
21.215,26980
21.223,23029
21.23,24298
21.237,24098
21.244,28292
21.252,32416
21.259,30625
21.266,35812
21.274,38064
21.281,36580
21.288,27055
21.296,31005
21.303,21646
21.31,23464
21.318,21463
21.325,22362
21.332,20122
21.34,25864
21.347,21788
21.354,25208
21.362,22833
21.369,16366
21.376,21608
21.384,23940
21.391,28313
21.398,31579
21.406,40120
21.413,46550
21.42,54330
21.428,59038
21.435,63337
21.442,72511
21.449,81307
21.457,71713
21.464,48458
21.471,45721
21.479,28892
21.486,21141
21.493,19927
21.501,28690
21.508,32373
21.515,33584
21.523,32326
21.53,36939
21.537,38630
21.545,38223
21.552,24125
21.559,27020
21.567,24480
21.574,32282
21.581,28485
21.589,27417
21.596,29138
21.603,23709
21.611,26143
21.618,24621
21.625,30342
21.633,24740
21.64,29914
21.647,36701
21.655,59743
21.662,67211
21.669,81333
21.676,69361
21.684,60004
21.691,44248
21.698,34504
21.706,25039
21.713,20570
21.72,16442
21.728,17662
21.735,18924
21.742,19852
21.75,23114
21.757,22658
21.764,21921
21.772,23255
21.779,20149
21.786,22543
21.794,22212
21.801,20730
21.808,19056
21.816,16779
21.823,22162
21.83,22116
21.838,20870
21.845,25887
21.852,21692
21.86,30912
21.867,49034
21.874,72841
21.881,122398
21.889,158724
21.896,176133
21.903,174819
21.911,161041
21.918,110093
21.925,81735
21.933,61315
21.94,40700
21.947,36508
21.955,29300
21.962,25720
21.969,33637
21.977,32284
21.984,27590
21.991,32985
21.999,25085
22.006,24149
22.013,22091
22.021,23451
22.028,27369
22.035,27679
22.043,25230
22.05,26424
22.057,23830
22.065,27543
22.072,31484
22.079,25017
22.087,34061
22.094,31984
22.101,40672
22.108,34019
22.116,27122
22.123,29312
22.13,28275
22.138,23276
22.145,27635
22.152,27200
22.16,19028
22.167,15895
22.174,20671
22.182,19704
22.189,17317
22.196,20733
22.204,22407
22.211,17278
22.218,18748
22.226,17062
22.233,14636
22.24,15225
22.248,16850
22.255,15154
22.262,20114
22.27,28783
22.277,44739
22.284,65497
22.292,98213
22.299,107200
22.306,118281
22.313,98268
22.321,75532
22.328,66121
